label,sublabel,description,styles,bgcolor
粗大・不燃ごみ,,,img/hunen.svg,#733b96
資源ごみA,,,img/sigenA.svg,#77ae1f
可燃ごみ,,,img/kanen.svg,#ea3b13
資源ごみB,,,img/sigenB.svg,#2dc7aa
